pl_name,pl_radj,pl_bmassj,pl_orbper,st_teff
Kepler-15 b,0.96000000,0.66000000,4.94278200000,5515.00
Kepler-83 d,0.17300000,0.01290004,5.16979600000,4648.00
Kepler-143 c,0.30100000,0.03550000,27.08251100000,5848.00
Kepler-1116 b,0.22660362,0.02200000,41.69778270000,5641.00
HD 141399 d,1.22000000,1.18000000,1069.80000000000,5600.00
NGTS-17 b,1.24000000,0.76400000,3.24253000000,5650.00
Kepler-159 c,0.30400000,0.03630000,43.59579200000,4625.00
HIP 67851 b,1.22000000,1.15000000,89.23000000000,4840.00
Kepler-54 d,0.13600000,0.03805387,20.99569400000,4252.00
YZ Cet d,0.09210000,0.00342952,4.65626000000,3151.00
Kepler-1608 b,0.15434026,0.01150000,16.47356860000,4992.00
Kepler-152 b,0.24900000,0.02580000,18.20797300000,5088.00
HD 125612 b,1.17000000,2.97400000,557.69994000000,5900.00
Kepler-1641 c,0.26318137,0.02830000,32.65721200000,6152.00
K2-45 b,0.59862610,0.11400000,1.72926840000,4103.00
WASP-114 b,1.33900000,1.76900000,1.54877430000,5940.00
Kepler-968 c,0.15077170,0.01100000,5.70940491800,4598.00
HD 165131 b,1.08000000,18.70000000,2342.60000000000,5870.00
WASP-105 b,0.96000000,1.80000000,7.87288000000,5070.00
WASP-91 b,1.03000000,1.34000000,2.79858100000,4920.00
G 268-110 b,0.10100000,0.00478245,1.43263000000,
Kepler-1463 b,0.16593809,0.01300000,25.15864000000,5679.00
Kepler-712 c,0.43268802,0.06590000,226.89047000000,5148.00
Kepler-1948 b,0.09214328,0.00343000,15.57129955000,3872.00
Kepler-146 c,0.27900000,0.03130000,76.73217100000,5948.00
Kepler-711 b,0.30421982,0.03630000,23.58914398000,5222.00
Kepler-1080 b,0.29262200,0.03390000,77.25483960000,5956.00
WASP-113 b,1.40900000,0.47500000,4.54216874538,5890.00
Kepler-248 c,0.36300000,0.04900000,16.23949400000,5190.00
HD 133131 A c,1.28000000,0.42000000,3568.00000000000,5799.00
Kepler-1319 b,0.11954679,0.00742000,2.88676264500,3655.00
Kepler-678 b,0.45856009,0.07280000,7.27503724000,5520.00
Kepler-1535 b,0.22749576,0.02210000,138.94420000000,6021.00
Kepler-39 b,1.24000000,20.10000000,21.08721000000,6350.00
Kepler-1532 b,0.12043893,0.00752000,1.09366355900,5559.00
Kepler-808 b,0.13025248,0.00859000,0.63133235300,4653.00
KELT-10 b,1.39900000,0.67900000,4.16627390000,5948.00
WASP-119 b,1.40000000,1.23000000,2.49979000000,5650.00
WASP-69 b,1.00000000,0.26000000,3.86813881000,4792.00
WASP-94 A b,1.58000000,0.50000000,3.95019000000,6170.00
TOI-682.01,0.33382696,0.04240000,6.83923880000,5085.00
TOI-7384 b,0.31800000,0.03900000,6.23402580000,3185.00
Kepler-335 c,0.27400000,0.03030000,67.84446900000,5877.00
TOI-1453 b,0.10464823,0.00729954,4.31352250000,4975.00
TOI-2141 b,0.28075702,0.06324167,18.26160800000,5635.00
TOI-763 b,0.20340798,0.03080263,5.60570000000,5450.00
Kepler-94 c,1.11000000,9.83600000,820.30000000000,4781.00
GJ 1132 b,0.10630000,0.00578000,1.62892911000,3229.00
Kepler-966 b,0.36845392,0.05020000,99.74762200000,5840.00
EPIC 220492298 b,0.08832204,0.00295000,0.76240600000,5620.00
HATS-28 b,1.19400000,0.67200000,3.18107810000,5498.00
HATS-29 b,1.25100000,0.65300000,4.60587490000,5670.00
Kepler-1517 b,0.87072888,0.21600000,5.54608366500,7010.00
WASP-54 b,1.58000000,0.59000000,3.69364000000,6100.00
HD 63935 b,0.26012646,0.03303669,9.05880700000,5513.00
WASP-149 b,1.36000000,0.99100000,1.33281300000,5750.00
K2-403 b,0.47577921,0.07750000,33.58997900000,5511.00
Kepler-260 c,0.15500000,0.01160000,76.05017800000,5250.00
Kepler-140 c,0.16100000,0.01230000,91.35328200000,6077.00
HATS-15 b,1.10500000,2.17000000,1.74748753000,5311.00
TOI-2128 b,0.18634597,0.01415858,16.34136000000,5968.00
MASCARA-1 b,1.59700000,3.70000000,2.14877381000,7490.00
Kepler-14 b,1.13600000,8.40000000,6.79012300000,6395.00
K2-24 c,0.66910518,0.04845358,42.33910000000,5625.00
WASP-129 b,0.93000000,1.00000000,5.74814500000,5900.00
WASP-124 b,1.24000000,0.60000000,3.37265000000,6050.00
HATS-23 b,1.86000000,1.47000000,2.16051560000,5780.00
Kepler-941 b,0.27477920,0.03050000,17.42395198000,5539.00
Kepler-85 c,0.17646564,0.00676466,12.51000000000,5505.20
Kepler-734 b,0.31760193,0.03900000,6.10485285600,5326.00
GJ 2030 b,0.18100000,0.01500000,2.38129000000,5485.00
KELT-9 b,1.89100000,2.88000000,1.48112350000,10170.00
NGTS-1 b,1.33000000,0.81200000,2.64729800000,3916.00
K2-157 d,0.46100000,0.07320000,66.50000000000,5334.00
Kepler-599 b,0.25336783,0.02660000,15.65562652000,5127.00
HATS-52 b,1.38200000,2.24000000,1.36665436000,6010.00
HATS-53 b,1.34000000,0.59500000,3.85377680000,5644.00
WASP-139 b,0.80000000,0.11700000,5.92426200000,5310.00
WASP-142 b,1.53000000,0.84000000,2.05286800000,6010.00
Kepler-1203 b,0.09456687,0.00377000,0.58800076500,4105.00
55 Cnc b,1.24000000,0.83060000,14.65155200000,5198.00
47 UMa c,1.27000000,0.54000000,2391.00000000000,5872.00
61 Vir d,0.45600000,0.07200000,123.01000000000,5577.00
61 Vir b,0.18800000,0.01600000,4.21500000000,5577.00
HD 136352 b,0.14845239,0.01485078,11.57797000000,5664.00
Kepler-1720 b,0.28689968,0.03280000,12.70639992000,5573.00
HD 4732 c,1.17000000,3.36500000,3184.20000000000,4898.00
Kepler-549 b,0.22928004,0.03460970,42.94956490000,5360.00
HD 147513 b,1.22000000,1.21000000,528.40000000000,5883.00
HD 160691 c,,4.40000000,3947.00000000000,5773.00
Kepler-19 c,0.32800000,0.04121700,28.73100000000,5544.00
Kepler-1727 b,0.28309588,0.03210000,9.02929973600,5349.00
ITG 15 b,1.08000000,21.00000000,,
Kepler-531 b,0.24801499,0.02560000,29.88485741000,4893.00
Kepler-1182 b,0.21500580,0.02010000,11.17394617000,5924.00
KELT-19 A b,1.91000000,4.07000000,4.61170930000,7500.00
KELT-21 b,1.58600000,3.91000000,3.61276470000,7598.00
HD 37124 b,1.25000000,0.67500000,154.37800000000,5698.64
